MolID	1	2	3	4	5	6	7	8	9	10	11	12	13	14
242	nan	0.647360	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
435	nan	0.647360	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
243	nan	0.520610	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
755	nan	0.647360	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
500	nan	0.520610	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
694	nan	0.647360	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
509	nan	0.520610	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
767	nan	0.520610	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
642	nan	nan	0.367700	0.252380	0.375780	0.331520	0.276430	0.300900	0.400100	0.543540	0.352230	0.455230	0.170770	0.411160	0.514810
514	nan	nan	0.367700	0.252380	0.375780	0.331520	0.276430	0.300900	0.400100	0.543540	0.352230	0.455230	0.170770	0.411160	0.514810
262	nan	nan	0.367700	0.252380	0.375780	0.331520	0.276430	0.300900	0.400100	0.543540	0.352230	0.455230	0.170770	0.411160	0.514810
454	nan	nan	0.367700	0.252380	0.375780	0.331520	0.276430	0.300900	0.400100	0.543540	0.352230	0.455230	0.170770	0.411160	0.514810
271	nan	nan	0.367700	0.252380	0.375780	0.331520	0.276430	0.300900	0.400100	0.543540	0.352230	0.455230	0.170770	0.411160	0.514810
208	nan	nan	0.367700	0.252380	0.375780	0.331520	0.276430	0.300900	0.400100	0.543540	0.352230	0.455230	0.170770	0.411160	0.514810
401	nan	nan	0.367700	0.252380	0.375780	0.331520	0.276430	0.300900	0.400100	0.543540	0.352230	0.455230	0.170770	0.411160	0.514810
19	nan	nan	0.367700	0.252380	0.375780	0.331520	0.276430	0.300900	0.400100	0.543540	0.352230	0.455230	0.170770	0.411160	0.514810
148	nan	nan	0.367700	0.252380	0.375780	0.331520	0.276430	0.300900	0.400100	0.543540	0.352230	0.455230	0.170770	0.411160	0.514810
